"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc"
"ON-5890","2024-08-13 23:38:40","shriram","[""ISEAR_LABEL""]","[]","2","1000","1000","BT","0.4028683181225554","0.39091511936339524",,,,,,"5.0E-4","0.5","random",,,"1.31713473E15","418.36363077163696","yes","no"
"ON-5885","2024-08-13 23:38:19","shriram","[""ISEAR_LABEL""]","[]","1","1000","3500","b1","0.5495436766623207",,,,,,"0.5908488063660478","5.0E-4","1.0","default",,,"1.01354589E16","3204.2315714359283","no","no"
"ON-5884","2024-08-13 23:38:13","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","BT","0.6310299869621904",,,,"0.5848806366047745",,,"5.0E-4","1.0","default",,,"1.233503901E16","4724.85338973999","no","no"
"ON-5881","2024-08-13 23:38:00","shriram","[""ISEAR_LABEL""]","[]","2","1000","2000","BT","0.5977835723598436",,,"0.5588527851458885",,,,"5.0E-4","0.5","random",,,"6.78256026E15","2335.0900735855103","yes","no"
"ON-5878","2024-08-13 23:37:46","shriram","[""ISEAR_LABEL""]","[]","0","1000","1000","b1","0.2379400260756193","0.24336870026525198",,,,,,"5.0E-4","1.0","default",,,"2.10333042E15","628.0173645019531","no","no"
"ON-5874","2024-08-13 23:37:30","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","b1","0.5704041720990873",,,,,"0.5969827586206896",,"5.0E-4","1.0","default",,,"1.071356025E16","4634.064548492432","no","no"
"ON-5873","2024-08-13 23:37:24","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","BT","0.5853976531942634",,,"0.5505636604774535",,,,"5.0E-4","1.0","default",,,"6.95366169E15","2450.968961238861","no","no"
"ON-5871","2024-08-13 23:37:14","shriram","[""ISEAR_LABEL""]","[]","2","1000","3000","BT","0.5958279009126467",,,,,"0.5951591511936339",,"5.0E-4","0.5","random",,,"8.67201801E15","3016.945345878601","yes","no"
"ON-5868","2024-08-13 23:37:01","shriram","[""ISEAR_LABEL""]","[]","1","1000","3000","b1","0.5501955671447197",,,,,"0.5900198938992043",,"5.0E-4","1.0","default",,,"1.007326659E16","3118.3692383766174","no","no"
"ON-5866","2024-08-13 23:36:52","shriram","[""ISEAR_LABEL""]","[]","2","1000","1500","BT","0.5384615384615384",,"0.4951923076923077",,,,,"5.0E-4","1.0","default",,,"2.92117803E15","996.3477954864502","no","no"
"ON-5863","2024-08-13 23:36:39","shriram","[""ISEAR_LABEL""]","[]","0","1000","1500","BT","0.4556714471968709",,"0.4398209549071618",,,,,"5.0E-4","0.5","random",,,"2.62346469E15","1033.727607011795","yes","no"
"ON-5860","2024-08-13 23:36:26","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","BT","0.6036505867014341",,,,,,"0.6112400530503979","5.0E-4","0.5","random",,,"7.51185105E15","2671.391332387924","yes","no"
"ON-5857","2024-08-13 23:36:12","shriram","[""ISEAR_LABEL""]","[]","2","1000","3000","b1","0.5671447196870926",,,,,"0.596816976127321",,"5.0E-4","1.0","default",,,"8.68671564E15","3122.917623281479","no","no"
"ON-5856","2024-08-13 23:36:07","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","BT","0.41590612777053454","0.4171087533156499",,,,,,"5.0E-4","0.5","random",,,"1.82344863E15","807.0006837844849","yes","no"
"ON-5854","2024-08-13 23:35:58","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.40547588005215124",,,"0.42324270557029176",,,,"5.0E-4","1.0","default",,,"6.45950526E15","2117.4631474018097","no","no"
"ON-5852","2024-08-13 23:35:49","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","b1","0.5651890482398957",,,,,,"0.5890251989389921","5.0E-4","1.0","default",,,"1.147251393E16","3863.766536474228","no","no"
"ON-5851","2024-08-13 23:35:43","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","b1","0.23859191655801826","0.23839522546419098",,,,,,"5.0E-4","1.0","default",,,"2.38932879E15","714.0607414245605","no","no"
"ON-5849","2024-08-13 23:35:33","shriram","[""ISEAR_LABEL""]","[]","1","1000","3000","BT","0.6179921773142112",,,,,"0.6223474801061007",,"5.0E-4","0.5","random",,,"9.66277845E15","3259.134902238846","yes","no"
"ON-5843","2024-08-13 23:35:08","shriram","[""ISEAR_LABEL""]","[]","1","1000","3000","BT","0.6329856584093873",,,,,"0.6031167108753316",,"5.0E-4","1.0","default",,,"1.671140349E16","5395.720800638199","no","no"
"ON-5842","2024-08-13 23:35:02","shriram","[""ISEAR_LABEL""]","[]","2","1000","3500","b1","0.5541069100391134",,,,,,"0.5876989389920424","5.0E-4","1.0","default",,,"8.83828308E15","3012.778706550598","no","no"
"ON-5840","2024-08-13 23:34:53","shriram","[""ISEAR_LABEL""]","[]","0","1000","2500","BT","0.6297262059973925",,,,"0.5870358090185677",,,"5.0E-4","1.0","default",,,"9.37305384E15","3109.7523908615112","no","no"
"ON-5837","2024-08-13 23:34:40","shriram","[""ISEAR_LABEL""]","[]","2","1000","2000","BT","0.5847457627118644",,,"0.5490716180371353",,,,"5.0E-4","1.0","default",,,"6.72356478E15","2237.967321872711","no","no"
"ON-5829","2024-08-13 23:34:07","shriram","[""ISEAR_LABEL""]","[]","1","1000","1500","BT","0.42046936114732725",,"0.39555702917771884",,,,,"5.0E-4","1.0","default",,,"5.45044515E15","1866.6127228736877","no","no"
"ON-5828","2024-08-13 23:34:01","shriram","[""ISEAR_LABEL""]","[]","2","1000","3000","BT","0.6277705345501956",,,,,"0.5867042440318302",,"5.0E-4","1.0","default",,,"1.320625839E16","4252.587712049484","no","no"
"ON-5826","2024-08-13 23:33:52","shriram","[""ISEAR_LABEL""]","[]","1","1000","3500","BT","0.5938722294654498",,,,,,"0.613395225464191","5.0E-4","0.5","random",,,"1.198141329E16","4140.598605394363","yes","no"
"ON-5822","2024-08-13 23:33:35","shriram","[""ISEAR_LABEL""]","[]","0","1000","1500","b1","0.39504563233376794",,"0.3885941644562334",,,,,"5.0E-4","1.0","default",,,"3.30397506E15","1042.017324924469","no","no"
"ON-5821","2024-08-13 23:33:30","shriram","[""ISEAR_LABEL""]","[]","2","1000","1000","b1","0.2333767926988266","0.23922413793103448",,,,,,"5.0E-4","1.0","default",,,"2.38957911E15","765.4471926689148","no","no"
"ON-5812","2024-08-13 23:32:54","shriram","[""ISEAR_LABEL""]","[]","2","1000","3500","BT","0.5893089960886571",,,,,,"0.5964854111405835","5.0E-4","0.5","random",,,"1.221114036E16","4176.026916027069","yes","no"
"ON-5811","2024-08-13 23:32:48","shriram","[""ISEAR_LABEL""]","[]","2","1000","3500","BT","0.6160365058670143",,,,,,"0.584051724137931","5.0E-4","1.0","default",,,"1.710814527E16","5860.76414847374","no","no"
"ON-5803","2024-08-13 23:32:15","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","BT","0.6316818774445893",,,,,"0.5969827586206896",,"5.0E-4","1.0","default",,,"1.501895307E16","6632.856641054153","no","no"
"ON-5802","2024-08-13 23:32:09","shriram","[""ISEAR_LABEL""]","[]","1","1000","2500","BT","0.6088657105606258",,,,"0.5852122015915119",,,"5.0E-4","1.0","default",,,"1.042818843E16","3513.6650545597076","no","no"
"ON-5801","2024-08-13 23:32:04","shriram","[""ISEAR_LABEL""]","[]","1","1000","3500","BT","0.6140808344198174",,,,,,"0.6006299734748011","5.0E-4","1.0","default",,,"2.103637149E16","7048.339096069336","no","no"
"ON-5794","2024-08-13 23:31:35","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","BT","0.6082138200782269",,,,,"0.6097480106100795",,"5.0E-4","0.5","random",,,"7.05635976E15","2285.086188554764","yes","no"
"ON-5790","2024-08-13 23:31:18","shriram","[""ISEAR_LABEL""]","[]","2","1000","1500","BT","0.5254237288135594",,"0.4970159151193634",,,,,"5.0E-4","0.5","random",,,"3.18201615E15","1099.2039127349854","yes","no"
"ON-5789","2024-08-13 23:31:13","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","BT","0.5664928292046936",,,"0.5573607427055703",,,,"5.0E-4","0.5","random",,,"3.62715768E15","1190.3863492012024","yes","no"
"ON-5779","2024-08-13 23:30:32","shriram","[""ISEAR_LABEL""]","[]","0","1000","1000","BT","0.4511082138200782","0.45242042440318303",,,,,,"5.0E-4","0.5","random",,,"1.12346451E15","394.5663516521454","yes","no"
"ON-5775","2024-08-13 23:30:13","shriram","[""ISEAR_LABEL""]","[]","0","1000","2500","BT","0.6010430247718384",,,,"0.5895225464190982",,,"5.0E-4","0.5","random",,,"9.59334297E15","3156.5536799430847","yes","no"
"ON-5772","2024-08-13 23:30:00","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","BT","0.3500651890482399","0.34814323607427056",,,,,,"5.0E-4","1.0","default",,,"1.68072192E15","535.1483852863312","no","no"
"ON-5769","2024-08-13 23:29:46","shriram","[""ISEAR_LABEL""]","[]","1","1000","1500","BT","0.4661016949152542",,"0.45275198938992045",,,,,"5.0E-4","0.5","random",,,"3.4855116E15","1064.8724949359894","yes","no"
"ON-5768","2024-08-13 23:29:41","shriram","[""ISEAR_LABEL""]","[]","2","1000","1500","b1","0.37157757496740546",,"0.3779840848806366",,,,,"5.0E-4","1.0","default",,,"2.7984834E15","1239.1435947418213","no","no"
"ON-5767","2024-08-13 23:29:36","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","BT","0.5990873533246415",,,"0.5571949602122016",,,,"5.0E-4","1.0","default",,,"6.83350803E15","2561.5237379074097","no","no"
"ON-5766","2024-08-13 23:29:31","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","b1","0.4661016949152542",,,,"0.49137931034482757",,,"5.0E-4","1.0","default",,,"6.29480445E15","2175.650115966797","no","no"
"ON-5765","2024-08-13 23:29:26","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","b1","0.41003911342894395",,,"0.42572944297082227",,,,"5.0E-4","1.0","default",,,"5.50890306E15","2062.3114330768585","no","no"
"ON-5758","2024-08-13 23:28:57","shriram","[""ISEAR_LABEL""]","[]","0","1000","1500","BT","0.5123859191655802",,"0.46601458885941643",,,,,"5.0E-4","1.0","default",,,"4.48532556E15","1939.0219254493713","no","no"
"ON-5757","2024-08-13 23:28:52","shriram","[""ISEAR_LABEL""]","[]","0","1000","1000","BT","0.35919165580182527","0.34399867374005305",,,,,,"5.0E-4","1.0","default",,,"1.50784563E15","617.7869160175323","no","no"
"ON-5753","2024-08-13 23:28:35","shriram","[""ISEAR_LABEL""]","[]","0","1000","2500","b1","0.4661016949152542",,,,"0.49088196286472147",,,"5.0E-4","1.0","default",,,"7.00259883E15","2355.1411600112915","no","no"
"ON-5750","2024-08-13 23:28:21","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","BT","0.605606258148631",,,,"0.5852122015915119",,,"5.0E-4","0.5","random",,,"7.48449033E15","2623.8033306598663","yes","no"
"ON-5747","2024-08-13 23:28:08","shriram","[""ISEAR_LABEL""]","[]","1","1000","1500","b1","0.378748370273794",,"0.39290450928381965",,,,,"5.0E-4","1.0","default",,,"2.29245891E15","953.3477759361267","no","no"
"ON-5746","2024-08-13 23:28:03","shriram","[""ISEAR_LABEL""]","[]","1","1000","2500","b1","0.4576271186440678",,,,"0.48458222811671087",,,"5.0E-4","1.0","default",,,"6.52352226E15","2172.2290909290314","no","no"
"ON-5742","2024-08-13 23:27:45","shriram","[""ISEAR_LABEL""]","[]","2","1000","2000","b1","0.4165580182529335",,,"0.4321949602122016",,,,"5.0E-4","1.0","default",,,"5.56423395E15","2067.1509273052216","no","no"
"ON-5740","2024-08-13 23:27:35","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","BT","0.621903520208605",,,,,,"0.5953249336870027","5.0E-4","1.0","default",,,"1.823016135E16","5855.540865659714","no","no"
"ON-5734","2024-08-13 23:27:10","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","BT","0.5860495436766623",,,"0.5860411140583555",,,,"5.0E-4","0.5","random",,,"5.04106437E15","1735.5895915031433","yes","no"
"ON-5732","2024-08-13 23:27:01","shriram","[""ISEAR_LABEL""]","[]","2","1000","1000","BT","0.3683181225554107","0.34515915119363394",,,,,,"5.0E-4","1.0","default",,,"1.6139382E15","557.8438458442688","no","no"
"ON-5731","2024-08-13 23:26:56","shriram","[""ISEAR_LABEL""]","[]","1","1000","2500","BT","0.5919165580182529",,,,"0.5832228116710876",,,"5.0E-4","0.5","random",,,"6.49722087E15","2284.3770303726196","yes","no"
"ON-5728","2024-08-13 11:12:47","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","BT","0.5977835723598436",,,,,,"0.6082559681697612","5.0E-4","1.0","default",,,"9.39608583E15","3796.055546283722","yes","no"
"ON-5727","2024-08-13 11:12:42","shriram","[""ISEAR_LABEL""]","[]","0","1000","1500","b1","0.4132985658409387",,"0.4482758620689655",,,,,"5.0E-4","0.0","default",,,"1.26387964276704E15","509.24652338027954","yes","yes"
"ON-5726","2024-08-13 11:12:36","shriram","[""ISEAR_LABEL""]","[]","1","1000","3000","BT","0.3213820078226858",,,,,"0.6337864721485411",,"5.0E-4","0.0","default",,,"2.63222052E15","1109.1527450084686","yes","no"
"ON-5725","2024-08-13 11:12:31","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","b1","0.32659713168187743","0.32427055702917773",,,,,,"5.0E-4","0.0","default",,,"8.7730293E14","284.39850997924805","yes","no"
"ON-5724","2024-08-13 11:12:26","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","b1","0.32659713168187743","0.32427055702917773",,,,,,"5.0E-4","0.0","default",,,"8.7730363072992E14","295.2332901954651","yes","yes"
"ON-5723","2024-08-13 11:12:21","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","b1","0.36114732724902215",,,,"0.4583885941644562",,,"5.0E-4","0.0","default",,,"1.84957440970128E15","666.69393658638","yes","yes"
"ON-5722","2024-08-13 11:12:15","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.4211212516297262",,,"0.4885610079575597",,,,"5.0E-4","0.0","default",,,"2.37163264090896E15","907.4634115695953","yes","yes"
"ON-5721","2024-08-13 11:12:10","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","b1","0.3559322033898305",,,,"0.45739389920424406",,,"5.0E-4","0.0","default",,,"1.84956306E15","612.7055294513702","yes","no"
"ON-5720","2024-08-13 11:12:02","shriram","[""ISEAR_LABEL""]","[]","1","1000","2500","BT","0.6029986962190352",,,,"0.6004641909814323",,,"5.0E-4","1.0","default",,,"8.42806488E15","2894.123034477234","yes","no"
"ON-5719","2024-08-13 11:11:57","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","b1","0.36114732724902215","0.3640583554376658",,,,,,"5.0E-4","1.0","default",,,"1.56976107E15","507.1450123786926","yes","no"
"ON-5718","2024-08-13 11:11:50","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","b1","0.5651890482398957",,,,,"0.6021220159151194",,"5.0E-4","1.0","default",,,"1.224061899E16","4065.0725824832916","yes","no"
"ON-5717","2024-08-13 11:11:45","shriram","[""ISEAR_LABEL""]","[]","0","1000","1000","b1","0.3155149934810952","0.3171419098143236",,,,,,"5.0E-4","0.5","random",,,"1.31056029E15","463.8721888065338","yes","no"
"ON-5716","2024-08-13 11:11:40","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.44654498044328556",,,"0.5064655172413793",,,,"5.0E-4","0.0","default",,,"2.21934159E15","759.5179355144501","yes","no"
"ON-5715","2024-08-13 11:11:35","shriram","[""ISEAR_LABEL""]","[]","2","1000","1500","b1","0.46479791395045633",,"0.4927055702917772",,,,,"5.0E-4","0.0","default",,,"1.18288569E15","364.8558268547058","yes","no"
"ON-5714","2024-08-13 11:11:29","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","BT","0.41199478487614083","0.41578249336870027",,,,,,"5.0E-4","1.0","default",,,"1.44399099E15","488.87663197517395","yes","no"
"ON-5713","2024-08-13 11:11:24","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.4517601043024772",,,"0.47529840848806365",,,,"5.0E-4","0.5","random",,,"4.04512431E15","1484.5502064228058","yes","no"
"ON-5712","2024-08-13 11:11:18","shriram","[""ISEAR_LABEL""]","[]","2","1000","2000","b1","0.455019556714472",,,"0.46568302387267907",,,,"5.0E-4","0.5","random",,,"4.36034997E15","1435.589352607727","yes","no"
"ON-5711","2024-08-13 11:11:12","shriram","[""ISEAR_LABEL""]","[]","2","1000","1500","BT","0.5169491525423728",,"0.4842506631299735",,,,,"5.0E-4","1.0","default",,,"4.74777951E15","1529.6100387573242","yes","no"
"ON-5710","2024-08-13 11:11:07","shriram","[""ISEAR_LABEL""]","[]","0","1000","3500","b1","0.5528031290743155",,,,,,"0.598972148541114","5.0E-4","0.5","random",,,"8.47545516E15","2874.5697169303894","yes","no"
"ON-5709","2024-08-13 11:11:01","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","b1","0.4315514993481095",,,"0.46269893899204245",,,,"5.0E-4","0.0","default",,,"1.61569668E15","522.248612165451","yes","no"
"ON-5708","2024-08-13 11:10:54","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","BT","0.227509778357236",,,,,"0.6356100795755968",,"5.0E-4","0.0","default",,,"2.77827387E15","997.8064546585083","yes","no"
"ON-5707","2024-08-13 11:10:48","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","BT","0.4758800521512386",,,"0.5460875331564987",,,,"5.0E-4","0.0","default",,,"1.4682370124352E15","591.0890345573425","yes","yes"
"ON-5706","2024-08-13 11:10:43","shriram","[""ISEAR_LABEL""]","[]","1","1000","1000","BT","0.4406779661016949","0.44346816976127323",,,,,,"5.0E-4","0.0","default",,,"9.4949157E14","320.5428855419159","yes","no"
"ON-5705","2024-08-13 11:10:38","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","BT","0.6003911342894394",,,"0.5697944297082228",,,,"5.0E-4","1.0","default",,,"5.76250008E15","2000.5443975925446","yes","no"
"ON-5704","2024-08-13 11:10:32","shriram","[""ISEAR_LABEL""]","[]","2","1000","1000","BT","0.3833116036505867","0.3746684350132626",,,,,,"5.0E-4","1.0","default",,,"1.6388091E15","536.542765378952","yes","no"
"ON-5703","2024-08-13 11:10:27","shriram","[""ISEAR_LABEL""]","[]","2","1000","2000","b1","0.4530638852672751",,,"0.5079575596816976",,,,"5.0E-4","0.0","default",,,"1.54473040469136E15","566.3149280548096","yes","yes"
"ON-5702","2024-08-13 11:10:21","shriram","[""ISEAR_LABEL""]","[]","1","1000","3500","BT","0.18513689700130379",,,,,,"0.6584880636604774","5.0E-4","0.0","default",,,"2.48164060830768E15","997.3103506565094","yes","yes"
"ON-5701","2024-08-13 11:10:15","shriram","[""ISEAR_LABEL""]","[]","0","1000","2000","BT","0.46088657105606257",,,"0.5074602122015915",,,,"5.0E-4","0.0","default",,,"1.76327011933632E15","689.0958626270294","yes","yes"
"ON-5700","2024-08-13 11:10:10","shriram","[""ISEAR_LABEL""]","[]","1","1000","3000","b1","0.5228161668839635",,,,,"0.6046087533156499",,"5.0E-4","0.0","default",,,"2.72743443670848E15","1083.340193271637","yes","yes"
"ON-5699","2024-08-13 11:10:04","shriram","[""ISEAR_LABEL""]","[]","0","1000","3000","BT","0.22164276401564537",,,,,"0.6346153846153846",,"5.0E-4","0.0","default",,,"2.75464430114112E15","1042.8799364566803","yes","yes"
"ON-5698","2024-08-13 11:09:58","shriram","[""ISEAR_LABEL""]","[]","1","1000","3000","b1","0.5684485006518905",,,,,"0.6095822281167109",,"5.0E-4","1.0","default",,,"9.27531183E15","3177.2229301929474","yes","no"
"ON-5697","2024-08-13 11:09:52","shriram","[""ISEAR_LABEL""]","[]","2","1000","2500","BT","0.6192959582790091",,,,"0.5890251989389921",,,"5.0E-4","1.0","default",,,"8.98614408E15","3263.29531955719","yes","no"
"ON-5696","2024-08-13 11:09:47","shriram","[""ISEAR_LABEL""]","[]","0","1000","1000","BT","0.4067796610169492","0.4073275862068966",,,,,,"5.0E-4","1.0","default",,,"1.43730405E15","462.5821409225464","yes","no"
"ON-5695","2024-08-13 11:09:41","shriram","[""ISEAR_LABEL""]","[]","0","1000","1500","b1","0.43415906127770537",,"0.4366710875331565",,,,,"5.0E-4","1.0","default",,,"2.27490138E15","806.3436160087585","yes","no"
"ON-5694","2024-08-13 11:09:36","shriram","[""ISEAR_LABEL""]","[]","1","1000","2000","b1","0.439374185136897",,,"0.45739389920424406",,,,"5.0E-4","1.0","default",,,"4.41907938E15","1555.832149028778","yes","no"
